supply_source,domain,app_name,country,environment,device_type,line_item_type,creative_size,impressions,viewable_impressions,measurable_impressions,clicks,total_spend_usd,viewability,measurability,ctr,ecpm_usd,vcpm_usd,ecpc_usd,viewable_impressions_est,quality_score,cost_efficiency_score,iab_category,iab_category_secondary,content_type,audience_profile,geo_focus,language,brand_safety_risk,is_app,publisher_tier
sovrn,skyvector.com,,MX,Web,Desktop,DISPLAY,300x100,1177,1144,1176,15,5.4815,0.9728,0.9992,0.0127,4.657,4.792,0.365,1145,0.9862,0.2058,IAB9 - Hobbies & Interests,IAB20 - Travel,other,professionals,global,en,low,false,long-tail
adxbr,games.crazygames.com,,MX,Web,Mobile,DISPLAY,970x250,1044,1005,1018,6,4.8213,0.9873,0.9751,0.0057,4.6182,4.7975,1.0586,1031,0.9861,0.2055,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
adxbr,gifft.me,,MX,Web,Mobile,DISPLAY,320x50,2040,1981,2036,18,9.4649,0.973,0.998,0.0088,4.64,4.778,0.526,1985,0.9859,0.2063,IAB24 - Uncategorized,,other,mixed,global,en,high,false,unknown
ogury,www.tuasaude.com,,MX,Web,Mobile,DISPLAY,970x250,1527,1478,1515,28,7.0787,0.9755,0.9922,0.0184,4.6354,4.7899,0.2581,1490,0.9854,0.2057,IAB7 - Health & Fitness,,health,mass_reach,national,pt,low,false,mid-tier
amazon,poki.com,,MX,Web,Mobile,DISPLAY,320x50,1434,1388,1423,36,6.5682,0.9754,0.9923,0.0251,4.58,4.732,0.182,1399,0.9854,0.2082,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
sovrn,tunein.com,,MX,Web,Mobile,DISPLAY,300x50,3707,3587,3678,30,17.2521,0.9753,0.9922,0.0081,4.654,4.81,0.575,3615,0.9853,0.2048,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,streaming,mass_reach,global,en,low,false,premium
sas,mx.investing.com,,MX,Web,Desktop,DISPLAY,160x600,3195,3092,3171,37,14.8528,0.9751,0.9925,0.0116,4.649,4.8039,0.4009,3115,0.9853,0.2051,IAB13 - Personal Finance,IAB3 - Business,finance,professionals,global,en,low,false,premium
rp,www.crazygames.com,,MX,Web,Mobile,DISPLAY,970x250,2620,2528,2580,15,12.1254,0.9798,0.9847,0.0057,4.6283,4.7963,0.8787,2567,0.9853,0.2054,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
ogury,www.eldiariodechihuahua.mx,,MX,Web,Mobile,DISPLAY,970x250,1967,1901,1950,9,9.1251,0.9749,0.9914,0.0046,4.6387,4.8003,0.9644,1918,0.9849,0.2052,IAB12 - News / Current Events,,news,mass_reach,local,es,medium,false,long-tail
adxbr,veja.abril.com.br,,BR,Web,Mobile,DISPLAY,728x90,1378,1333,1370,34,6.0407,0.973,0.9942,0.0247,4.3838,4.5232,0.1713,1341,0.9848,0.2177,IAB12 - News / Current Events,IAB1 - Arts & Entertainment,news,mass_reach,national,pt,low,false,premium
opera,www.chess.com,,MX,Web,Desktop,DISPLAY,300x600,6363,6146,6328,17,29.5413,0.9712,0.9945,0.0027,4.6425,4.8066,1.7099,6180,0.984,0.2047,IAB9 - Hobbies & Interests,,gaming,mixed,global,en,low,false,premium
index,vamoscruzazul.bolavip.com,,MX,Web,Mobile,DISPLAY,320x100,1608,1546,1587,4,7.4733,0.9742,0.9869,0.0025,4.648,4.834,1.868,1567,0.9832,0.2034,IAB17 - Sports,,sports,sports_fans,regional,es,medium,false,mid-tier
kidoz,play.google.com,Talking Tom &amp; Friends: World,US,In-app,Mobile,VIDEO,1920x1080,1527,1471,1515,141,13.3217,0.971,0.9921,0.0923,8.724,9.056,0.094,1483,0.9831,0.1086,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
smartyads,www.dailymotion.com,,MX,Web,Mobile,DISPLAY,300x250,1156,1107,1130,4,5.3505,0.9796,0.9775,0.0035,4.6285,4.8335,1.2608,1132,0.9831,0.2034,IAB1 - Arts & Entertainment,,streaming,mass_reach,global,en,medium,false,premium
adxbr,www.imagenradio.com.mx,,MX,Web,Mobile,DISPLAY,320x100,3539,3399,3488,25,16.4298,0.9744,0.9855,0.0071,4.6429,4.8341,0.6549,3449,0.9829,0.2033,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,streaming,mass_reach,national,es,medium,false,mid-tier
openx,poki.com,,MX,Web,Desktop,DISPLAY,160x600,2665,2559,2629,11,12.3704,0.9734,0.9864,0.0041,4.6418,4.8341,1.1172,2594,0.9826,0.2033,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
opera,tunein.com,,MX,Web,Mobile,DISPLAY,320x50,1448,1394,1438,11,6.7376,0.9694,0.9931,0.0076,4.6535,4.833,0.5894,1404,0.9826,0.2033,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,streaming,mass_reach,global,en,low,false,premium
opera,poki.com,,MX,Web,Desktop,DISPLAY,300x250,8305,7980,8220,32,38.5399,0.9708,0.9898,0.0039,4.6406,4.8299,1.1881,8062,0.9823,0.2034,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
adxbr,oantagonista.com.br,,BR,Web,Mobile,DISPLAY,320x50,2425,2327,2397,9,1.7291,0.9708,0.9885,0.0037,0.7132,0.743,0.1888,2354,0.982,1.3217,IAB12 - News / Current Events,"IAB11 - Law, Government & Politics",news,professionals,national,pt,medium,false,mid-tier
adxbr,www.imagentv.com,,MX,Web,Mobile,DISPLAY,320x50,75687,72244,73959,209,351.9031,0.9768,0.9772,0.0028,4.649,4.8715,1.6821,73934,0.9816,0.2015,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,entertainment,mass_reach,national,es,medium,false,mid-tier
pubmatic,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,300x250,4305,4132,4266,121,20.0412,0.9686,0.9909,0.0281,4.6553,4.8507,0.1971,4170,0.9816,0.2024,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
rp,www.musicca.com,,BR,Web,Mobile,DISPLAY,970x250,1093,1049,1083,4,0.8615,0.9686,0.9909,0.0037,0.788,0.821,0.215,1059,0.9816,1.1956,IAB1 - Arts & Entertainment,IAB5 - Education,education,students,global,en,low,false,long-tail
triplelift,poki.com,,MX,Web,Desktop,DISPLAY,728x90,2686,2574,2655,6,12.4517,0.9695,0.9884,0.0022,4.6359,4.8383,2.0707,2604,0.9813,0.2028,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
medianet,www.hola.com,,MX,Web,Mobile,DISPLAY,320x50,1777,1701,1761,13,8.2624,0.9659,0.991,0.0073,4.6499,4.8576,0.68,1716,0.9802,0.2018,IAB1 - Arts & Entertainment,IAB18 - Style & Fashion,entertainment,high_income,regional,es,low,false,premium
outbrain,www.xataka.com,,MX,Web,Mobile,DISPLAY,320x50,3178,3034,3132,27,14.7153,0.9687,0.9855,0.0085,4.6303,4.8506,0.5603,3078,0.98,0.202,IAB19 - Technology & Computing,,technology,tech_enthusiasts,regional,es,low,false,premium
adxbr,www.motorpasion.com.mx,,MX,Web,Mobile,DISPLAY,320x100,3110,2963,3053,12,14.407,0.9705,0.9816,0.0038,4.6328,4.868,1.252,3018,0.9798,0.2013,IAB2 - Automotive,,automotive,mixed,national,es,low,false,mid-tier
sas,www.ign.com,,MX,Web,Mobile,DISPLAY,300x100,2544,2424,2505,13,11.8523,0.9677,0.9847,0.0051,4.659,4.89,0.912,2462,0.9793,0.2003,IAB9 - Hobbies & Interests,IAB1 - Arts & Entertainment,gaming,tech_enthusiasts,global,en,low,false,premium
adxbr,gente.ig.com.br,,BR,Web,Mobile,DISPLAY,320x50,1176,1115,1149,29,5.6313,0.9704,0.977,0.0246,4.7882,5.0603,0.1719,1141,0.9783,0.1933,IAB12 - News / Current Events,IAB1 - Arts & Entertainment,news,mass_reach,national,pt,medium,false,mid-tier
sas,poki.com,,MX,Web,Desktop,DISPLAY,300x250,21724,20646,21379,99,101.12,0.9657,0.9841,0.0046,4.6548,4.8977,1.0166,20980,0.9781,0.1997,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
adxbr,www.infobae.com,,MX,Web,Mobile,DISPLAY,320x50,12849,12184,12584,80,59.4056,0.9682,0.9794,0.0062,4.6237,4.8758,0.7594,12440,0.9779,0.2006,IAB12 - News / Current Events,,news,mass_reach,regional,es,medium,false,premium
adxbr,topdehoje.com,,BR,Web,Mobile,DISPLAY,320x50,9922,9396,9725,38,7.0186,0.9661,0.9801,0.0038,0.7072,0.7478,0.1844,9586,0.9771,1.3066,IAB12 - News / Current Events,IAB1 - Arts & Entertainment,news,mass_reach,national,pt,medium,false,long-tail
triplelift,vamoscruzazul.bolavip.com,,MX,Web,Mobile,DISPLAY,300x100,3818,3626,3773,46,17.7822,0.961,0.9882,0.012,4.657,4.904,0.387,3669,0.977,0.1992,IAB17 - Sports,,sports,sports_fans,regional,es,medium,false,mid-tier
adxbr,www.gazetasp.com.br,,BR,Web,Mobile,DISPLAY,320x50,15310,14562,15196,47,10.5825,0.9582,0.9925,0.003,0.6917,0.7271,0.2275,14671,0.9769,1.3435,IAB12 - News / Current Events,,news,mass_reach,local,pt,medium,false,long-tail
sovrn,www.ign.com,,MX,Web,Mobile,DISPLAY,300x100,1680,1587,1644,5,7.8271,0.9653,0.9786,0.003,4.659,4.932,1.565,1622,0.9762,0.1979,IAB9 - Hobbies & Interests,IAB1 - Arts & Entertainment,gaming,tech_enthusiasts,global,en,low,false,premium
opera,www.investing.com,,MX,Web,Desktop,DISPLAY,160x600,1777,1686,1760,23,8.245,0.9579,0.9904,0.013,4.6399,4.8857,0.3155,1702,0.9761,0.1998,IAB13 - Personal Finance,IAB3 - Business,finance,professionals,global,en,low,false,premium
appnexus,www.tuasaude.com,,MX,Web,Mobile,DISPLAY,970x250,7714,7292,7622,163,35.7573,0.9567,0.988,0.0211,4.6354,4.9037,0.22,7380,0.9748,0.1988,IAB7 - Health & Fitness,,health,mass_reach,national,pt,low,false,mid-tier
adxbr,playhop.com,,MX,Web,Mobile,DISPLAY,160x600,4868,4561,4735,443,22.5515,0.9632,0.9726,0.091,4.6324,4.9449,0.0515,4689,0.9734,0.1968,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,long-tail
index,www.crazygames.com,,MX,Web,Desktop,DISPLAY,728x90,4331,4072,4253,24,20.0775,0.9574,0.9819,0.0056,4.6359,4.9311,0.8319,4147,0.9733,0.1974,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
adx,www.marmiton.org,,FR,Web,Mobile,DISPLAY,970x250,13111,12538,12913,25,78.4467,0.971,0.9849,0.0019,5.9835,6.2566,3.2292,12730,0.9709,0.1552,IAB8 - Food & Drink,,other,parents,national,fr,low,false,mid-tier
triplelift,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,970x90,2258,2114,2225,21,10.3986,0.9501,0.9854,0.0093,4.6055,4.9192,0.5538,2145,0.9707,0.1973,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
openx,www.investing.com,,MX,Web,Desktop,DISPLAY,160x600,1480,1367,1409,10,6.8721,0.9702,0.952,0.0068,4.6433,5.0283,0.6934,1436,0.9707,0.193,IAB13 - Personal Finance,IAB3 - Business,finance,professionals,global,en,low,false,premium
adxbr,www.unotv.com,,MX,Web,Mobile,DISPLAY,320x100,15961,15176,15656,31,74.1959,0.9693,0.9809,0.0019,4.6486,4.8894,2.6477,15472,0.9706,0.1985,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
rp,www.crazygames.com,,MX,Web,Mobile,DISPLAY,728x90,1199,1123,1184,5,5.5572,0.9485,0.9875,0.0042,4.6344,4.9493,1.3628,1137,0.9705,0.1961,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
appnexus,trends.glance.com,,MX,Web,Mobile,DISPLAY,970x250,1298,1213,1277,23,6.0114,0.9499,0.9838,0.0177,4.6311,4.9565,0.2526,1233,0.9701,0.1957,IAB19 - Technology & Computing,IAB12 - News / Current Events,technology,mass_reach,global,en,medium,false,mid-tier
adxbr,gifft.me,,MX,Web,Mobile,DISPLAY,300x250,17658,16560,17572,159,82.2394,0.9424,0.9951,0.009,4.657,4.966,0.517,16641,0.9697,0.1953,IAB24 - Uncategorized,,other,mixed,global,en,high,false,unknown
adxbr,veja.abril.com.br,,BR,Web,Mobile,DISPLAY,320x100,2256,2099,2205,64,9.5173,0.952,0.9774,0.0284,4.2192,4.5365,0.147,2148,0.9692,0.2136,IAB12 - News / Current Events,IAB1 - Arts & Entertainment,news,mass_reach,national,pt,low,false,premium
smartyads,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,970x90,1209,1127,1189,7,5.5745,0.9479,0.9834,0.0058,4.6106,4.9475,1.0896,1146,0.969,0.1959,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
pubmatic,outlook.live.com,,BR,Web,Desktop,DISPLAY,160x600,3203,3058,3162,6,1.0694,0.9671,0.9872,0.0019,0.3342,0.3499,0.1678,3098,0.9689,2.769,IAB19 - Technology & Computing,,technology,mass_reach,global,en,low,false,premium
gumgum,es.scribd.com,,MX,Web,Desktop,DISPLAY,300x250,3071,2853,2998,43,14.2206,0.9516,0.9762,0.014,4.6311,4.9846,0.3315,2922,0.9687,0.1943,IAB9 - Hobbies & Interests,IAB5 - Education,education,professionals,global,en,low,false,premium
kidoz,play.google.com,Floof - My Pet House,US,In-app,Mobile,VIDEO,1920x1080,1722,1563,1591,102,15.0224,0.9824,0.9239,0.0592,8.724,9.611,0.147,1692,0.9684,0.1008,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
ogury,www.clarin.com,,MX,Web,Mobile,DISPLAY,970x250,1914,1771,1853,34,8.9074,0.9557,0.9681,0.0178,4.654,5.03,0.262,1829,0.9683,0.1925,IAB12 - News / Current Events,IAB1 - Arts & Entertainment,news,mass_reach,national,es,low,false,premium
adxbr,www.tvazteca.com,,MX,Web,Mobile,DISPLAY,320x50,1094,1017,1073,64,5.0771,0.9478,0.9808,0.0585,4.641,4.992,0.079,1037,0.9681,0.1939,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,entertainment,mass_reach,national,es,low,false,premium
sovrn,www.mediotiempo.com,,MX,Web,Desktop,DISPLAY,160x600,2588,2411,2569,7,12.0282,0.9385,0.9926,0.0027,4.6476,4.9886,1.6981,2429,0.967,0.1938,IAB17 - Sports,,sports,sports_fans,national,es,low,false,premium
pubmatic,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,728x90,1311,1215,1284,42,6.0048,0.9462,0.9794,0.0321,4.58,4.9427,0.1429,1241,0.9669,0.1956,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
pubmatic,www.myinstants.com,,MX,Web,Mobile,DISPLAY,320x50,4862,4502,4755,15,22.5307,0.9468,0.978,0.0031,4.6345,5.0043,1.4761,4603,0.9668,0.1932,IAB1 - Arts & Entertainment,,entertainment,young_adults,global,en,medium,false,long-tail
pubmatic,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,970x90,1766,1638,1738,68,8.0889,0.9425,0.9841,0.0385,4.58,4.938,0.119,1664,0.9665,0.1957,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
taboola,www.meteored.mx,,MX,Web,Mobile,DISPLAY,300x600,2060,1913,2035,12,9.4812,0.9401,0.9879,0.0058,4.6026,4.9691,0.912,1937,0.9664,0.1945,IAB15 - Science,,other,mass_reach,national,es,low,false,mid-tier
rp,www.buzzfeed.com,,MX,Web,Desktop,DISPLAY,300x600,11736,10885,11562,37,54.5326,0.9415,0.9852,0.0032,4.6468,5.0098,1.4664,11049,0.9663,0.1929,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,entertainment,young_adults,global,en,medium,false,premium
ogury,www.nationalgeographic.com.es,,MX,Web,Mobile,DISPLAY,970x250,1606,1488,1585,11,7.4388,0.9389,0.9869,0.0069,4.632,4.999,0.6502,1508,0.9655,0.1931,IAB15 - Science,IAB20 - Travel,education,professionals,national,es,low,false,premium
sovrn,www.cifraclub.com,,MX,Web,Mobile,DISPLAY,970x250,17812,16502,17656,42,82.7789,0.9346,0.9912,0.0024,4.647,5.016,1.971,16647,0.9647,0.1923,IAB1 - Arts & Entertainment,IAB5 - Education,entertainment,young_adults,national,pt,low,false,mid-tier
adxbr,www.mediotiempo.com,,MX,Web,Mobile,DISPLAY,300x250,1175,1089,1167,10,5.3676,0.9332,0.9932,0.0086,4.5678,4.9284,0.4867,1096,0.9645,0.1957,IAB17 - Sports,,sports,sports_fans,national,es,low,false,premium
openx,www.eleconomista.com.mx,,MX,Web,Mobile,DISPLAY,320x100,15376,14102,14863,100,71.2729,0.9488,0.9667,0.0065,4.6357,5.0544,0.7201,14589,0.9644,0.1908,IAB3 - Business,IAB13 - Personal Finance,business,professionals,national,es,low,false,premium
triplelift,www.crazygames.com,,MX,Web,Desktop,DISPLAY,728x90,5324,5019,5223,10,24.7501,0.961,0.981,0.0019,4.6489,4.9313,2.4649,5116,0.9644,0.1956,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
adxbr,los40.com.mx,,MX,Web,Mobile,DISPLAY,320x100,1546,1420,1504,8,7.1765,0.9441,0.9728,0.0052,4.6423,5.0547,1.0037,1460,0.9639,0.1907,IAB1 - Arts & Entertainment,,streaming,young_adults,national,es,medium,false,mid-tier
adxbr,www.letras.com,,MX,Web,Mobile,DISPLAY,728x90,5668,5222,5562,83,26.3938,0.9389,0.9813,0.0147,4.657,5.055,0.3218,5321,0.9638,0.1907,IAB1 - Arts & Entertainment,,entertainment,young_adults,regional,es,medium,false,long-tail
id,itunes.apple.com,Candy Crush Jelly Saga,US,In-app,Mobile,VIDEO,1300x1280,168213,149667,149878,627,2292.9745,0.9926,0.891,0.0037,13.631,29.459,7.7908,166970,0.9636,0.0327,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,www.uol.com.br,,BR,Web,Mobile,DISPLAY,320x50,50039,46117,49198,390,77.9001,0.9374,0.9832,0.0078,1.5567,1.6848,0.1945,46905,0.9636,0.572,IAB12 - News / Current Events,IAB1 - Arts & Entertainment,news,mass_reach,national,pt,low,false,premium
adxbr,www.unotv.com,,MX,Web,Mobile,DISPLAY,728x90,1620,1485,1572,24,7.5252,0.9447,0.9704,0.0148,4.6455,5.0675,0.3087,1530,0.9635,0.1901,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
adxbr,universitiesreviews.com,,MX,Web,Mobile,DISPLAY,336x280,1208,1110,1183,179,5.533,0.9383,0.9793,0.1482,4.58,4.985,0.031,1133,0.9629,0.1932,IAB5 - Education,,education,students,global,en,medium,false,long-tail
appnexus,lolalytics.com,,MX,Web,Desktop,DISPLAY,160x600,3581,3299,3536,118,16.5802,0.933,0.9874,0.033,4.63,5.0261,0.156,3341,0.9627,0.1915,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,tech_enthusiasts,global,en,low,false,long-tail
adxbr,mediotiempo.com,,MX,Web,Mobile,DISPLAY,320x480,9823,8946,9425,180,45.7205,0.9492,0.9595,0.0183,4.654,5.111,0.254,9324,0.9625,0.1883,IAB17 - Sports,,sports,sports_fans,national,es,low,false,premium
rp,www.elimparcial.com,,MX,Web,Mobile,DISPLAY,320x480,1041,951,1010,13,4.8307,0.9416,0.9702,0.0125,4.64,5.08,0.372,980,0.9619,0.1894,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
adxbr,diario.mx,,MX,Web,Mobile,DISPLAY,320x50,2545,2328,2479,28,11.8562,0.9391,0.9741,0.011,4.659,5.093,0.423,2390,0.9618,0.1888,IAB12 - News / Current Events,,news,mass_reach,local,es,medium,false,long-tail
adx,www.pomponik.pl,,PL,Web,Mobile,DISPLAY,300x50,4107,3765,4027,18,2.5845,0.9349,0.9805,0.0044,0.629,0.686,0.144,3840,0.9616,1.4017,IAB1 - Arts & Entertainment,,entertainment,mass_reach,national,pl,medium,false,mid-tier
index,www.crazygames.com,,MX,Web,Desktop,DISPLAY,300x250,1606,1507,1582,3,7.4579,0.9526,0.9851,0.0019,4.6437,4.9494,2.4642,1530,0.961,0.1942,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
sovrn,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,336x280,1307,1195,1277,5,5.9865,0.9358,0.977,0.0038,4.58,5.01,1.197,1223,0.961,0.1918,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
adxbr,www.meutimao.com.br,,BR,Web,Mobile,DISPLAY,320x50,1489,1361,1468,6,0.8098,0.9271,0.9859,0.004,0.544,0.595,0.135,1380,0.9593,1.6123,IAB17 - Sports,,sports,sports_fans,national,pt,medium,false,long-tail
adxbr,www.unotv.com,,MX,Web,Mobile,DISPLAY,320x480,1863,1691,1806,99,8.5332,0.9364,0.9694,0.0532,4.58,5.0469,0.0854,1745,0.959,0.19,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
smartyads,poki.com,,MX,Web,Desktop,DISPLAY,336x280,1329,1199,1268,5,6.0873,0.9456,0.9541,0.0038,4.58,5.077,1.217,1257,0.959,0.1889,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
rp,veja.abril.com.br,,BR,Web,Mobile,DISPLAY,320x50,11706,10694,11583,42,11.6433,0.9233,0.9895,0.0036,0.9945,1.0893,0.2694,10808,0.9585,0.8799,IAB12 - News / Current Events,IAB1 - Arts & Entertainment,news,mass_reach,national,pt,low,false,premium
index,www.meteored.mx,,MX,Web,Mobile,DISPLAY,300x600,2637,2396,2569,39,12.0783,0.9325,0.9742,0.0148,4.58,5.0527,0.3024,2459,0.9585,0.1897,IAB15 - Science,,other,mass_reach,national,es,low,false,mid-tier
adx,meteofrance.com,,FR,Web,Desktop,DISPLAY,300x600,1439,1316,1429,9,8.2645,0.9209,0.993,0.0062,5.7432,6.28,0.4102,1325,0.9584,0.1526,IAB15 - Science,,other,mass_reach,national,fr,low,false,premium
medianet,www.investopedia.com,,MX,Web,Mobile,DISPLAY,300x50,1846,1678,1807,4,8.598,0.9286,0.9789,0.0022,4.658,5.124,2.15,1714,0.958,0.187,IAB13 - Personal Finance,IAB5 - Education,finance,professionals,global,en,low,false,premium
ogury,www.meteored.mx,,MX,Web,Mobile,DISPLAY,336x280,23888,21679,23314,543,110.3204,0.9298,0.976,0.0227,4.6184,5.0885,0.2034,22212,0.9577,0.1882,IAB15 - Science,,other,mass_reach,national,es,low,false,mid-tier
pubmatic,www.meteored.mx,,MX,Web,Mobile,DISPLAY,300x600,3065,2768,2959,44,14.0387,0.9351,0.9654,0.0144,4.58,5.095,0.3202,2866,0.9572,0.1879,IAB15 - Science,,other,mass_reach,national,es,low,false,mid-tier
sovrn,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,970x90,1838,1656,1764,8,8.4172,0.9386,0.9597,0.0043,4.5792,5.0897,1.0202,1725,0.9572,0.1881,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
medianet,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,728x90,4655,4305,4528,9,21.566,0.9507,0.9728,0.0019,4.6331,5.0093,2.1524,4426,0.9567,0.191,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
appnexus,www.foxsports.com.mx,,MX,Web,Mobile,DISPLAY,970x250,1658,1504,1626,15,7.6994,0.925,0.9807,0.009,4.644,5.119,0.513,1534,0.9567,0.1869,IAB17 - Sports,,sports,sports_fans,national,es,low,false,premium
