SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile,placement_rationale_pl
rp,kobieta.wp.pl,,Mobile,Web,DISPLAY,300x600,PL,184457,136445,182138,74.91%,612,0.33%,458.14021,2.484,3.358,0.749,0,0.00%,0.7397,0.9874,3.3577,0.8264,0.0,0.8264,low,IAB19 - Lifestyle,,lifestyle,"mass_reach,young_adults,parents","Polski serwis lifestylowy Wirtualnej Polski skierowany do kobiet z treściami o urodzie, zdrowiu i relacjach."
adx,tvn24.pl,,Mobile,Web,DISPLAY,336x280,PL,181884,147594,177832,83.00%,556,0.31%,506.547037,2.785,3.432,0.911,0,0.00%,0.8115,0.9777,3.432,0.8697,0.0,0.8697,low,IAB12 - News & Politics,,news,"mass_reach, professionals, parents",Jedna z największych polskich stacji informacyjnych o wysokim zaufaniu publiczności i szerokim zasięgu demograficznym.
adxbr,colunadofla.com,,Mobile,Web,DISPLAY,300x250,BR,173212,113186,167628,67.52%,502,0.29%,251.007716,1.449,2.218,0.5,0,0.00%,0.6535,0.9678,2.2177,0.7635,0.0001,0.7635,low,IAB18 - Sports,IAB12 - News & Politics,sports,"mass_reach, young_adults","Kolumna sportowa dedykowana piłce nożnej, przyciągająca zaangażowanych kibiców szukających analiz i wiadomości sportowych."
index,kultura.gazeta.pl,,Mobile,Web,DISPLAY,320x100,PL,166645,40977,162322,25.24%,37,0.02%,28.199485,0.169,0.688,0.762,0,0.00%,0.2459,0.9741,0.6882,0.5008,0.0006,0.5008,low,IAB12 - News & Politics,IAB9 - Hobbies & Interests,entertainment,"professionals,young_adults","Dział kultury Gazety Wyborczej dostarczający recenzje, artykuły i wiadomości ze świata sztuki."
sovrn,mail.yahoo.com,,Desktop,Web,VIDEO,1920x1080,BR,165438,58868,68539,85.89%,18,0.01%,597.32356,3.611,10.147,33.185,115013,69.52%,0.3558,0.4143,10.1468,0.3763,0.0,0.3763,low,IAB1 - Arts & Entertainment,,other,"mass_reach, professionals, parents",Globalna platforma poczty elektronicznej Yahoo Mail dociera do milionów użytkowników z różnych segmentów demograficznych.
adx,24.hu,,Mobile,Web,DISPLAY,300x250,HU,142986,121400,140189,86.60%,2964,2.07%,1439.049869,10.064,11.854,0.486,0,0.00%,0.849,0.9804,11.8538,0.895,0.0,0.895,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Węgierski serwis informacyjny o szerokim zasięgu, przyciągający czytelników zainteresowanych bieżącymi wiadomościami."
adx,www.kurzy.cz,,Desktop,Web,VIDEO,1300x1280,CZ,129768,120743,126363,95.55%,6,0.00%,445.721212,3.435,3.691,74.287,113623,87.56%,0.9305,0.9738,3.6915,0.9457,0.0,0.9457,low,IAB13 - Finance,,finance,"professionals,high_income","Czeski serwis finansowy oferujący aktualne notowania walut, akcji i kryptowalut dla inwestorów."
sas,ge.globo.com,,Mobile,Web,VIDEO,1920x1080,BR,126390,0,0,0.00%,337,0.27%,508.238213,4.021,0.0,1.508,90323,71.46%,0.0,0.0,0.0,0.0,0.0,0.0,low,IAB17 - Sports,IAB12 - News & Politics,sports,"mass_reach, professionals, young_adults",Brazylijski portal sportowy Globo Esporte przyciąga zaangażowaną społeczność kibiców szukających wiadomości o piłce nożnej.
adx,www.auto-swiat.pl,,Mobile,Web,DISPLAY,320x100,PL,122333,107201,114807,93.37%,846,0.69%,513.996247,4.202,4.795,0.608,0,0.00%,0.8763,0.9385,4.7947,0.8981,0.0,0.8981,low,IAB2 - Automotive,,automotive,"professionals, young_adults, high_income","Polski portal motoryzacyjny oferujący recenzje samochodów i wiadomości branżowe, idealny dla producentów i dealerów."
adxbr,www.adorocinema.com,,Mobile,Web,VIDEO,1920x1080,BR,114130,89008,107967,82.44%,32,0.03%,438.671725,3.844,4.928,13.708,87167,76.38%,0.7799,0.946,4.9285,0.838,0.0,0.838,low,IAB1 - Arts & Entertainment,IAB1-7 - Movies,entertainment,"mass_reach,young_adults",Brazylijski portal filmowy z recenzjami i informacjami kinowymi przyciągający fanów kina i seriami TV.
opera,wiadomosci.wp.pl,,Mobile,Web,VIDEO,1300x1280,PL,105969,53977,70401,76.67%,97,0.09%,552.35134,5.212,10.233,5.694,55653,52.52%,0.5094,0.6644,10.2331,0.5636,0.0,0.5636,low,IAB12 - News & Politics,,news,"mass_reach,professionals,high_income",Najczęściej odwiedzany polski portal informacyjny z szerokim zasięgiem i zaufaniem użytkowników.
adx,www.meczyki.pl,,Mobile,Web,DISPLAY,300x600,PL,105757,92808,104499,88.81%,290,0.27%,37.711132,0.357,0.406,0.13,0,0.00%,0.8776,0.9881,0.4063,0.9163,0.0003,0.9163,low,IAB17 - Sports,,sports,"mass_reach,young_adults",Polski serwis wyników i informacji o meczach piłki nożnej przyciąga masową publiczność kibiców lokalnych.
adx,wyborcza.pl,,Desktop,Web,DISPLAY,300x250,PL,101784,90766,101069,89.81%,50,0.05%,30.021448,0.295,0.331,0.6,0,0.00%,0.8918,0.993,0.3308,0.9272,0.0003,0.6954,medium,IAB12 - News & Politics,IAB3 - Business,news,"mass_reach, professionals, high_income","Wiodący polski portal informacyjny Gazety Wyborczej oferujący kompleksowe pokrycie wiadomości, polityki i kultury dla szerokiego odbiorcy."
adx,polki.pl,,Mobile,Web,DISPLAY,300x600,PL,97757,84118,97019,86.70%,794,0.81%,413.930572,4.234,4.921,0.521,0,0.00%,0.8605,0.9925,4.9208,0.9067,0.0,0.9067,low,IAB18 - Style & Fashion,IAB19 - Beauty & Fitness,lifestyle,"mass_reach, young_adults, parents","Portal lifestyle'owy skierowany do kobiet oferuje naturalną przestrzeń dla marek fashion, beauty i home&living."
pubmatic,www.meteored.mx,,Mobile,Web,DISPLAY,336x280,MX,97739,53957,93448,57.74%,243,0.25%,226.243529,2.315,4.193,0.931,0,0.00%,0.5521,0.9561,4.193,0.6935,0.0,0.6935,low,IAB19 - Technology & Computing,IAB20 - News & Politics,other,mass_reach,Meksykański portal pogody o masowym zasięgu przyciąga odbiorców zainteresowanych prognozami i informacjami meteorologicznymi.
pubmatic,jastrzabpost.pl,,Mobile,Web,DISPLAY,300x250,PL,95173,72074,93642,76.97%,292,0.31%,122.848343,1.291,1.704,0.421,0,0.00%,0.7573,0.9839,1.7045,0.8366,0.0001,0.8366,low,IAB12 - News & Politics,IAB13 - Business,news,"mass_reach,professionals",Polski portal informacyjny dociera do szerokiej publiczności zainteresowanej bieżącymi wiadomościami i analizami.
rp,www.gumtree.com,,Mobile,Web,DISPLAY,320x50,GB,89652,49321,86918,56.74%,25,0.03%,59.278423,0.661,1.202,2.371,0,0.00%,0.5501,0.9695,1.2019,0.6969,0.0002,0.5227,medium,IAB18 - Shopping,IAB3 - Business,other,"mass_reach,professionals,young_adults",Popularna platforma klasyfikowanych ogłoszeń przyciąga szeroką rzeszę kupujących i sprzedających szukających różnych towarów i usług.
appnexus,webmd.com,,Mobile,Web,DISPLAY,300x250,GB,88135,31229,86961,35.91%,49,0.06%,324.82631,3.686,10.401,6.629,0,0.00%,0.3543,0.9867,10.4014,0.5756,0.0,0.5756,low,IAB7 - Health & Fitness,IAB8 - Food & Drink,health,"mass_reach,parents,high_income",Wiodący portal zdrowotny z wysokim zaufaniem użytkowników szukających informacji medycznych i porad zdrowotnych.
adxbr,www.olx.com.br,,Desktop,Web,DISPLAY,300x600,BR,79061,71318,78054,91.37%,159,0.20%,96.167419,1.216,1.348,0.605,0,0.00%,0.9021,0.9873,1.3484,0.9319,0.0001,0.6989,medium,IAB18 - Business & Finance,IAB16 - Automotive,other,"mass_reach, high_income","Brazylijska platforma ogłoszeniowa e-commerce przyciąga kupujących i sprzedających szukających towarów, nieruchomości i usług."
prebid,www.portalsamorzadowy.pl,,Mobile,Web,DISPLAY,300x600,PL,76233,48372,73445,65.86%,478,0.63%,283.488747,3.719,5.861,0.593,0,0.00%,0.6345,0.9634,5.8606,0.7496,0.0,0.7496,low,IAB12 - News & Politics,IAB3 - Business,news,"professionals,mass_reach",Portal samorządowy dostarczający informacji dla wyborców i biznesmena zainteresowanych sprawami lokalnymi i administracją.
appnexus,portal.abczdrowie.pl,,Mobile,Web,DISPLAY,300x250,PL,75013,63188,73988,85.40%,240,0.32%,198.288737,2.643,3.138,0.826,0,0.00%,0.8424,0.9863,3.1381,0.8928,0.0,0.8928,low,IAB8 - Health & Fitness,,health,"mass_reach, professionals, parents",Portal zdrowotny z wiarygodną zawartością medyczną przyciąga osoby zainteresowane profilaktyką i poradami zdrowotnymi.
appnexus,www.sports.fr,,Mobile,Web,DISPLAY,300x600,FR,73695,55072,71216,77.33%,745,1.01%,437.654083,5.939,7.947,0.587,0,0.00%,0.7473,0.9664,7.9469,0.824,0.0,0.824,low,IAB17 - Sports,,sports,"mass_reach,young_adults",Wiodący francuski portal sportowy z szerokim zasięgiem wśród francuskich kibiców i sportowców.
sovrn,www.webmotors.com.br,,Desktop,Web,DISPLAY,300x250,BR,70880,33865,69799,48.52%,286,0.40%,106.892877,1.508,3.156,0.374,0,0.00%,0.4778,0.9847,3.1564,0.6552,0.0001,0.6552,low,IAB2 - Automotive,IAB10 - Shopping,automotive,"professionals, high_income",Brazylijski portal samochodowy łączący kupujących i sprzedawców w segmencie motoryzacyjnym.
adxbr,www.terra.com.br,,Desktop,Web,DISPLAY,970x250,BR,68479,50922,67637,75.29%,606,0.88%,159.951558,2.336,3.141,0.264,0,0.00%,0.7436,0.9877,3.1411,0.829,0.0,0.829,low,IAB26 - Uncategorized,IAB12 - News & Politics,news,mass_reach,Brazylijski portal internetowy oferujący szeroką gamę treści od wiadomości po entertainment dla masowego odbiorcy.
appnexus,sportowefakty.wp.pl,,Mobile,Web,DISPLAY,300x600,PL,61975,43444,61514,70.62%,298,0.48%,146.731377,2.368,3.377,0.492,0,0.00%,0.701,0.9926,3.3775,0.8031,0.0,0.8031,low,IAB17 - Sports,,sports,"mass_reach, young_adults",Polski serwis sportowy od zaufanego wydawcy WP z dużym zasięgiem wśród miłośników sportu.
rp,www.wort-suchen.de,,Mobile,Web,DISPLAY,320x100,DE,58544,39417,57849,68.14%,109,0.19%,86.595922,1.479,2.197,0.794,0,0.00%,0.6733,0.9881,2.1969,0.7835,0.0001,0.7835,low,IAB5 - Education,IAB11 - Gaming,gaming,"mass_reach, students",Niemiecki serwis krzyżówek i gier słownych przyciągający masową publiczność szukającą zabaw edukacyjnych.
index,kobieta.onet.pl,,Desktop,Web,DISPLAY,300x600,PL,58501,42000,57979,72.44%,13,0.02%,17.847285,0.305,0.425,1.373,0,0.00%,0.7179,0.9911,0.4249,0.8135,0.0003,0.8135,low,IAB19 - Lifestyle,,lifestyle,"mass_reach,young_adults,parents","Portal lifestylowy dla kobiet w ramach portalu Onet, dostarczający treści o mnie, urodzie i relacjach."
adx,mondo.rs,,Mobile,Web,DISPLAY,320x50,RS,49922,46158,49195,93.83%,123,0.25%,105.649791,2.116,2.289,0.859,0,0.00%,0.9246,0.9854,2.2889,0.9459,0.0,0.7094,medium,IAB12 - News & Politics,,news,"mass_reach, professionals",Serbski serwis informacyjny będący istotnym źródłem wiadomości dla dorosłych odbiorców w Serbii.
sovrn,sudoku.com,,Desktop,Web,DISPLAY,300x250,GB,49790,42651,49387,86.36%,28,0.06%,37.65877,0.756,0.883,1.345,0,0.00%,0.8566,0.9919,0.883,0.904,0.0001,0.904,low,IAB20 - Video Gaming,IAB8 - Arts & Entertainment,gaming,"mass_reach, professionals, students",Portal gier logicznych docierający do szerokiego audytorium szukającego rozrywki intelektualnej.
sas,www.20minutos.es,,Mobile,Web,DISPLAY,300x600,ES,49151,29081,48621,59.81%,310,0.63%,95.07303,1.934,3.269,0.307,0,0.00%,0.5917,0.9892,3.2692,0.7308,0.0001,0.7308,low,IAB12 - News & Politics,IAB12-1 - Breaking News,news,"mass_reach,professionals",Hiszpański serwis informacyjny o wysokiej popularności i zaufaniu odbiorców do contentu newsowego.
rp,www.lance.com.br,,Mobile,Web,DISPLAY,320x100,BR,48318,41962,47198,88.91%,171,0.35%,52.357184,1.084,1.248,0.306,0,0.00%,0.8685,0.9768,1.2477,0.9064,0.0001,0.9064,low,IAB17 - Sports,,sports,"mass_reach,young_adults","Brazylijski portal sportowy specjalizujący się w piłce nożnej, przyciągający miliony kibiców i fanów sportu."
index,www.campograndenews.com.br,,Mobile,Web,DISPLAY,320x100,BR,47127,43427,46085,94.23%,267,0.57%,61.712857,1.31,1.421,0.231,0,0.00%,0.9215,0.9779,1.4211,0.9412,0.0001,0.9412,low,IAB12 - News & Politics,IAB16 - Technology & Computing,news,"mass_reach,professionals",Brazylijski portal informacyjny z lokalnym zasięgiem na rynku Campo Grande dostarcza wiarygodne treści dla marek stawiających na zaangażowanie wspólnoty.
index,www.lequipe.fr,,Desktop,Web,DISPLAY,970x250,FR,46397,28092,45503,61.74%,184,0.40%,79.503635,1.714,2.83,0.432,0,0.00%,0.6055,0.9807,2.8301,0.7368,0.0001,0.7368,low,IAB16 - Sports,,sports,"mass_reach,young_adults",Wiodący francuski portal sportowy z ogromnym zasięgiem wśród kibiców i entuzjastów sportu.
pubmatic,www.purepeople.com.br,,Mobile,Web,DISPLAY,300x250,BR,42237,9440,39578,23.85%,117,0.28%,36.855342,0.873,3.904,0.315,0,0.00%,0.2235,0.937,3.9042,0.4732,0.0001,0.3549,medium,IAB9 - Hobbies & Interests,,entertainment,"mass_reach, young_adults",Brazylijska wersja portalu celebrytów przyciąga młodych dorosłych zainteresowanych rozrywką i mediami.
index,www1.folha.uol.com.br,,Mobile,Web,DISPLAY,300x250,BR,42147,7685,40402,19.02%,48,0.11%,15.940692,0.378,2.074,0.332,0,0.00%,0.1823,0.9586,2.0743,0.454,0.0003,0.454,low,IAB12 - News & Politics,IAB3 - Business,news,"professionals, high_income, mass_reach","Wiodący brazylijski dziennik online z szerokim zasięgiem publikujący rzetelne wiadomości, analizy i treści dla wykształconego audytorium."
appnexus,www.hln.be,,Desktop,Web,DISPLAY,300x250,BE,41993,7026,41639,16.87%,0,0.00%,84.958312,2.023,12.092,0.0,0,0.00%,0.1673,0.9916,12.092,0.4558,0.0,0.4558,low,IAB12 - News & Politics,IAB9 - Local News,news,"mass_reach,professionals",Belgijski portal informacyjny dostarczający wiadomości lokalne i krajowe dla flamandzkiej publiczności.
pubmatic,extra.globo.com,,Mobile,Web,DISPLAY,320x480,BR,41424,24564,40842,60.14%,594,1.43%,101.069469,2.44,4.115,0.17,0,0.00%,0.593,0.986,4.1145,0.7306,0.0,0.7306,low,IAB12 - News & Politics,IAB1 - Arts & Entertainment,news,mass_reach,Brazylijski portal sensacyjno-informacyjny docierający do dużych rzesz czytelników.
index,wiadomosci.wp.pl,,Desktop,Web,VIDEO,1300x1280,PL,41127,36672,40728,90.04%,30,0.07%,327.86826,7.972,8.941,10.929,34516,83.93%,0.8917,0.9903,8.9406,0.9262,0.0,0.9262,low,IAB12 - News & Politics,,news,"mass_reach,professionals,high_income",Najczęściej odwiedzany polski portal informacyjny z szerokim zasięgiem i zaufaniem użytkowników.
onetag,www.grazia.it,,Mobile,Web,VIDEO,1300x1280,IT,41025,19582,39056,50.14%,237,0.58%,553.338617,13.488,28.258,2.335,31870,77.68%,0.4773,0.952,28.2575,0.6434,0.0,0.6434,low,IAB20 - Lifestyle,IAB9 - Hobbies & Interests,lifestyle,"young_adults, high_income, mass_reach",Prestiżowy włoski magazyn mody i lifestyle'u przyciągający kobiety zainteresowane modą i designem.
opera,www.olx.com.br,,Mobile,Web,DISPLAY,970x250,BR,39513,28992,38775,74.77%,73,0.18%,49.269974,1.247,1.699,0.675,0,0.00%,0.7337,0.9813,1.6994,0.8204,0.0001,0.6153,medium,IAB18 - Business & Finance,IAB16 - Automotive,other,"mass_reach, high_income","Brazylijska platforma ogłoszeniowa e-commerce przyciąga kupujących i sprzedających szukających towarów, nieruchomości i usług."
opera,oglobo.globo.com,,Mobile,Web,DISPLAY,970x250,BR,38456,26862,37758,71.14%,81,0.21%,49.64263,1.291,1.848,0.613,0,0.00%,0.6985,0.9818,1.8481,0.7977,0.0001,0.7977,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Brazylijski serwis informacyjny należący do największej grupy medialnej w Brazylii o masowym zasięgu.
rp,motor1.uol.com.br,,Mobile,Web,DISPLAY,970x250,BR,38161,35956,37353,96.26%,127,0.33%,34.73169,0.91,0.966,0.273,0,0.00%,0.9422,0.9788,0.9659,0.955,0.0001,0.955,low,IAB2 - Automotive,,automotive,"professionals, high_income, young_adults",Brazylijski portal motoryzacyjny Motor1 przyciągający entuzjastów samochodów i potencjalnych nabywców pojazdów.
amazon,www.cifraclub.com.br,,Desktop,Web,DISPLAY,728x90,BR,37430,20828,36732,56.70%,429,1.15%,63.654707,1.701,3.056,0.148,0,0.00%,0.5565,0.9814,3.0562,0.7052,0.0001,0.7052,low,IAB9 - Hobbies & Interests,IAB1 - Arts & Entertainment,entertainment,"young_adults,students,professionals",Brazylijska wersja platformy muzycznej przyciąga polskojęzycznych muzyków i fan ów zainteresowanych nauką gry na instrumentach.
sovrn,www.terra.com.br,,Mobile,Web,DISPLAY,970x250,BR,37204,32946,36472,90.33%,191,0.51%,53.005864,1.425,1.609,0.278,0,0.00%,0.8855,0.9803,1.6089,0.9187,0.0001,0.9187,low,IAB26 - Uncategorized,IAB12 - News & Politics,news,mass_reach,Brazylijski portal internetowy oferujący szeroką gamę treści od wiadomości po entertainment dla masowego odbiorcy.
index,www.wattpad.com,,Desktop,Web,DISPLAY,300x600,PH,37059,30652,35068,87.41%,40,0.11%,6.917926,0.187,0.226,0.173,0,0.00%,0.8271,0.9463,0.2257,0.8688,0.0005,0.8688,low,IAB3 - Books & Literature,IAB17 - Music & Audio,entertainment,"mass_reach, young_adults, students",Globalna platforma społeczna dla pisarzy i czytelników z ogromnym zaangażowaniem młodej publiczności.
rp,www.walesonline.co.uk,,Mobile,Web,DISPLAY,300x250,GB,37029,8910,34015,26.19%,15,0.04%,56.750163,1.533,6.369,3.783,0,0.00%,0.2406,0.9186,6.3693,0.4779,0.0001,0.3584,medium,IAB12 - News & Politics,IAB9 - Local,news,"mass_reach, professionals",Angielski portal informacyjny z fokusem na wiadomości lokalne przyciągający odbiorców Walii.
pubmatic,www.fakt.pl,,Mobile,Web,DISPLAY,300x600,PL,37018,25077,36387,68.92%,168,0.45%,84.551398,2.284,3.372,0.503,0,0.00%,0.6774,0.983,3.3717,0.7844,0.0,0.5883,medium,IAB12 - News & Politics,IAB16 - Media & Entertainment,news,"mass_reach,professionals,parents","Polski tabloid o ogromnym zasięgu wśród mas, odpowiedni dla marek mainstream, choć zawiera treści czasami sensacyjne."
appnexus,mail.yahoo.com,,Desktop,Web,DISPLAY,300x250,BR,35873,31030,35445,87.54%,75,0.21%,11.651428,0.325,0.375,0.155,0,0.00%,0.865,0.9881,0.3755,0.9081,0.0003,0.9081,low,IAB1 - Arts & Entertainment,,other,"mass_reach, professionals, parents",Globalna platforma poczty elektronicznej Yahoo Mail dociera do milionów użytkowników z różnych segmentów demograficznych.
pubmatic,turystyka.wp.pl,,Mobile,Web,DISPLAY,320x100,PL,35117,29910,33460,89.39%,180,0.51%,91.732482,2.612,3.067,0.51,0,0.00%,0.8517,0.9528,3.067,0.8871,0.0,0.8871,low,IAB20 - Travel,,travel,"mass_reach, high_income",Wiodący polski serwis turystyczny przyciągający planujących wyjazdy osoby o średnich i wyższych dochodach.
adxbr,www.placardefutebol.com.br,,Mobile,Web,DISPLAY,300x600,BR,34792,28389,34201,83.01%,173,0.50%,48.528594,1.395,1.709,0.281,0,0.00%,0.816,0.983,1.7094,0.8744,0.0001,0.8744,low,IAB17 - Sports,,sports,"mass_reach,young_adults",Portal z wynikami piłki nożnej dla masowego odbiorcy zainteresowanego aktualnymi rezultatami i statystykami meczów.
amazon,diariodonordeste.verdesmares.com.br,,Mobile,Web,DISPLAY,336x280,BR,34302,20682,33514,61.71%,115,0.34%,44.360519,1.293,2.145,0.386,0,0.00%,0.6029,0.977,2.1449,0.7338,0.0001,0.7338,low,IAB12 - News & Politics,IAB23 - Local & Regional News,news,"mass_reach,professionals",Dziennik wiadomości z nordestycznej Brazylii przyciąga czytelników zainteresowanych informacjami z regionu i kraju.
rise,tendances.mariefrance.fr,,Mobile,Web,DISPLAY,300x600,FR,33477,19972,33298,59.98%,328,0.98%,186.533413,5.572,9.34,0.569,0,0.00%,0.5966,0.9947,9.3397,0.7359,0.0,0.7359,low,IAB18 - Style & Fashion,IAB15 - Family & Parenting,lifestyle,"parents, high_income, young_adults","Francuski magazyn mody i trendu dla kobiet, idealny dla marek beauty, fashion i lifestyle premium."
adx,holdpont.hu,,Mobile,Web,DISPLAY,300x250,HU,33281,20507,31280,65.56%,79,0.24%,32.304967,0.971,1.575,0.409,0,0.00%,0.6162,0.9399,1.5753,0.7295,0.0001,0.7295,low,IAB3 - Business,IAB12 - News & Politics,news,"professionals, mass_reach",Węgierski portal biznesowy i informacyjny dla profesjonalistów szukających wiarygodnych treści gospodarczych.
adxbr,tv.sbt.com.br,,Mobile,Web,DISPLAY,320x100,BR,33013,27291,31917,85.51%,66,0.20%,40.686208,1.232,1.491,0.616,0,0.00%,0.8267,0.9668,1.4908,0.8757,0.0001,0.8757,low,IAB19 - Entertainment,IAB12 - News & Politics,entertainment,"mass_reach, parents","Brazylijska stacja telewizyjna z bogatą ofertą kontekstu rozrywkowego, o szerokim zasięgu i zaufaniu publiczności."
prebid,biznes.interia.pl,,Mobile,Web,DISPLAY,320x100,PL,32806,30487,32337,94.28%,63,0.19%,67.526619,2.058,2.215,1.072,0,0.00%,0.9293,0.9857,2.2149,0.949,0.0,0.949,low,IAB18 - Real Estate,IAB3 - Business & Finance,finance,"professionals, high_income, young_adults",Serwis biznesowy i nieruchomościowy Interii docierający do przedsiębiorców i profesjonalistów zainteresowanych rynkiem i inwestycjami.
openx,www.dailymail.com,,Desktop,Web,DISPLAY,160x600,GB,32448,30947,32202,96.10%,38,0.12%,58.83205,1.813,1.901,1.548,0,0.00%,0.9537,0.9924,1.9011,0.9672,0.0001,0.7254,medium,IAB12 - News & Politics,IAB11 - Entertainment,news,"mass_reach, parents","Amerykańska wersja Daily Mail o szerokim zasięgu, ale wymagająca weryfikacji otoczenia ze względu na kontrowersyjne treści."
