SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile,placement_rationale_pl
rp,www.mumsnet.com,,Mobile,Web,DISPLAY,300x600,GB,256790,119562,251377,47.56%,356,0.14%,157.325725,0.613,1.316,0.442,0,0.00%,0.4656,0.9789,1.3159,0.7272,0.0001,0.7272,low,IAB26 - Parenting,IAB21 - Family & Relationships,parenting,"parents, young_adults","Komunitas matek z wysokim zaangażowaniem, idealna dla produktów rodzinnych."
adx,telecinco.es,,Mobile,Web,DISPLAY,320x100,ES,235280,224641,230976,97.26%,370,0.16%,185.812531,0.790,0.827,0.502,0,0.00%,0.9548,0.9817,0.8272,0.9771,0.0002,0.9771,low,IAB26 - Uncategorized,,entertainment,mass_reach,Stacja telewizyjna online dla hiszpańskiej publiczności zainteresowanej programami TV.
adxbr,capitulodehoje.com.br,,Mobile,Web,DISPLAY,336x280,BR,233105,177903,231369,76.89%,2218,0.95%,270.837137,1.162,1.522,0.122,0,0.00%,0.7632,0.9926,1.5224,0.8808,0.0001,0.8808,low,IAB6 - Entertainment,,entertainment,"mass_reach, parents",Serwis o serialach telewizyjnych przyciąga wielbicieli telewizji zainteresowanych odcinkami i recenzjami.
triplelift,www.cartacapital.com.br,,Mobile,Web,DISPLAY,336x280,BR,211423,172459,207429,83.14%,959,0.45%,285.872621,1.352,1.658,0.298,0,0.00%,0.8157,0.9811,1.6576,0.9062,0.0001,0.9062,low,IAB12 - News & Politics,IAB13 - Opinion,news,"mass_reach, professionals","Portal informacyjny przyciągający dorosłą, świadomą politycznie publiczność zainteresowaną analizą bieżących zdarzeń."
index,kultura.gazeta.pl,,Mobile,Web,DISPLAY,320x100,PL,185556,40794,180525,22.60%,37,0.02%,30.905650,0.167,0.758,0.835,0,0.00%,0.2198,0.9729,0.7576,0.5995,0.0002,0.5995,medium,IAB1 - Arts & Entertainment,IAB16 - Books & Literature,entertainment,"professionals, young_adults",Serwis kulturalny dla inteligencji zainteresowanej sztuką.
appnexus,www.itatiaia.com.br,,Mobile,Web,DISPLAY,970x250,BR,165366,154941,162649,95.26%,770,0.47%,205.229111,1.241,1.325,0.267,0,0.00%,0.937,0.9836,1.3246,0.9681,0.0001,0.9681,low,IAB17 - Sports,IAB12 - News & Politics,sports,"mass_reach, young_adults",Brazylijska stacja sportowa; doskonała do docierania do fanów sportu i audiencji Brazylii.
adx,party.pl,,Mobile,Web,VIDEO,1300x1280,PL,152842,147304,152446,96.63%,212,0.14%,1179.395549,7.716,8.007,5.563,118540,77.56%,0.9638,0.9974,8.0065,0.9295,0.0,0.9818,low,IAB14 - Entertainment,IAB9 - Hobbies & Interests,entertainment,"young_adults, mass_reach",Portal rozrywki i eventów skierowany do młodszego audytorium zainteresowanego imprezami.
adx,www.accuweather.com,,Mobile,Web,DISPLAY,336x280,RS,147867,132493,145056,91.34%,416,0.28%,299.833997,2.028,2.263,0.721,0,0.00%,0.896,0.981,2.263,0.9472,0.0001,0.9472,low,IAB17 - Weather,,other,mass_reach,"Globalny serwis pogodowy, idealny dla marek tourism, fashion i automotive."
inmobi,www.prosport.ro,,Mobile,Web,DISPLAY,336x280,RO,140483,67092,139360,48.14%,40,0.03%,41.993400,0.299,0.626,1.050,0,0.00%,0.4776,0.992,0.6259,0.7367,0.0003,0.7367,low,IAB17 - Sports,,sports,"mass_reach, young_adults",Portal sportowy o zasięgu krajowym doskonale współpracuje z branżą fitness i odzieży.
unityng,apps.apple.com,Candy Crush Saga,Mobile,In-app,VIDEO,1300x1280,ZA,140230,112373,112572,99.82%,3778,2.69%,697.057692,4.971,6.203,0.185,139195,99.26%,0.8013,0.8028,6.2031,0.9284,0.0,0.9005,low,IAB19 - Technology & Computing,,technology,"mass_reach, tech_enthusiasts, high_income","App Store Apple, gigantyczny zasięg wśród użytkowników iOS i marek tech."
pubmatic,www.tuttocampo.it,,Mobile,Web,DISPLAY,300x600,IT,140201,94046,136628,68.83%,1616,1.15%,1129.762063,8.058,12.013,0.699,0,0.00%,0.6708,0.9745,12.0129,0.8314,0.0,0.8314,low,IAB17 - Sports,,sports,"mass_reach, young_adults","Serwis piłkarski z włoskim auditorium, doskonały dla reklam sportowych i napojów."
adxbr,www.olx.com.br,,Desktop,Web,DISPLAY,970x90,BR,126140,98334,123160,79.84%,255,0.20%,151.459417,1.201,1.540,0.594,0,0.00%,0.7796,0.9764,1.5403,0.8874,0.0001,0.8874,low,IAB20 - Shopping,,shopping,"mass_reach, young_adults",Największy marketplace Brazylii z milionami użytkowników kupujących i sprzedających.
outbrain,www.ilmessaggero.it,,Mobile,Web,DISPLAY,500x120,IT,126128,0,0,0.00%,454,0.36%,347.951694,2.759,0.000,0.766,0,0.00%,0.0,0.0,,0.0,0.0,0.0,high,IAB12 - News & Politics,IAB14 - Society,news,"mass_reach, professionals, young_adults",Prestiżowy włoski dziennik dociera do zróżnicowanej publiczności zainteresowanej newsami i analizą.
sovrn,wiadomosci.gazeta.pl,,Mobile,Web,DISPLAY,320x100,PL,125230,101104,124525,81.19%,42,0.03%,25.467097,0.203,0.252,0.606,0,0.00%,0.8073,0.9944,0.2519,0.9031,0.0007,0.9031,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Serwis informacyjny gazety, premium placement dla marek premium i finance."
rp,www.climatempo.com.br,,Mobile,Web,DISPLAY,728x90,BR,120751,103187,115144,89.62%,473,0.39%,172.597773,1.429,1.673,0.365,0,0.00%,0.8545,0.9536,1.6727,0.9249,0.0001,0.9249,low,IAB9 - Hobbies & Interests,,other,mass_reach,Serwis pogodowy przyciągający szeroką publiczność codziennie poszukującą informacji o warunkach meteorologicznych.
rp,24.hu,,Desktop,Web,DISPLAY,300x250,HU,117305,80057,116716,68.59%,21,0.02%,40.405739,0.344,0.505,1.924,0,0.00%,0.6825,0.995,0.5047,0.8405,0.0003,0.8405,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Portal informacyjny na węgierskim rynku, duży zasięg i wiarygodność."
adx,click.ro,,Mobile,Web,DISPLAY,320x100,RO,117253,73655,115742,63.64%,166,0.14%,87.627042,0.747,1.190,0.528,0,0.00%,0.6282,0.9871,1.1897,0.8117,0.0001,0.8117,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Portal informacyjny przyciąga głównie dorosłych użytkowników szukających aktualnych wiadomości.
rp,www.abc.es,,Mobile,Web,DISPLAY,320x100,ES,115917,98642,113008,87.29%,544,0.47%,397.302684,3.427,4.028,0.730,0,0.00%,0.851,0.9749,4.0277,0.9239,0.0,0.9239,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Znanego dziennika hiszpańskiego, premium dla marek chcących reach'u w Hispaniji."
rp,nacionalloteria.mundodeportivo.com,,Mobile,Web,DISPLAY,300x250,ES,115777,11123,113411,9.81%,32,0.03%,55.170199,0.477,4.960,1.724,0,0.00%,0.0961,0.9796,4.96,0.5389,0.0,0.5389,medium,IAB13 - Finance,IAB18 - Sports,finance,"mass_reach, high_income",Serwis loterii dociera do entuzjastów gier hazardowych i sportowych.
magniteng,apps.apple.com,Cooking Fever: Restaurant Game,Mobile,In-app,VIDEO,1300x1280,GB,112237,54,56,96.43%,5,0.00%,748.778951,6.671,13866.277,149.756,90706,80.82%,0.0005,0.0005,13866.2769,0.5879,0.0,0.4824,medium,IAB19 - Technology & Computing,,technology,"mass_reach, tech_enthusiasts, high_income","App Store Apple, gigantyczny zasięg wśród użytkowników iOS i marek tech."
taboola,www.em.com.br,,Mobile,Web,DISPLAY,300x250,BR,110224,38965,109136,35.70%,229,0.21%,30.941882,0.281,0.794,0.135,0,0.00%,0.3535,0.9901,0.7941,0.6735,0.0002,0.6735,medium,IAB12 - News & Politics,,news,"mass_reach, professionals",Brazylijski dziennik przyciąga szeroką publiczność zainteresowaną wiadomościami i poliką lokalną.
adxbr,www.globe-tips.com,,Mobile,Web,DISPLAY,336x280,BR,105274,94925,104633,90.72%,442,0.42%,48.117041,0.457,0.507,0.109,0,0.00%,0.9017,0.9939,0.5069,0.9506,0.0003,0.9506,low,IAB20 - Travel,IAB19 - Hobbies & Interests,travel,"young_adults, high_income","Serwis podróży i tipów dla turystów, doskonały dla branży turystycznej i hotelarskiej."
onetag,swiatgwiazd.pl,,Mobile,Web,DISPLAY,970x250,PL,103831,20528,103229,19.89%,75,0.07%,19.376635,0.187,0.944,0.258,0,0.00%,0.1977,0.9942,0.9439,0.5966,0.0002,0.5966,medium,IAB17 - Style & Fashion,,entertainment,"mass_reach, young_adults",Portal celebrycki o gwiezdach i showbiznesie dla szerokiej publiczności zainteresowanej celebrytami.
adx,www.flashscore.pl,,Mobile,Web,DISPLAY,320x50,PL,102679,92002,100688,91.37%,124,0.12%,36.339266,0.354,0.395,0.293,0,0.00%,0.896,0.9806,0.395,0.9472,0.0004,0.9472,low,IAB17 - Sports,,sports,"mass_reach, young_adults, professionals","Aplikacja sportowa z live'ami i wynikami, idealna dla marek sportowych i bukmacherów."
pubmatic,www.tumblr.com,,Mobile,Web,DISPLAY,300x600,ES,102185,26866,97156,27.65%,220,0.22%,55.457902,0.543,2.064,0.252,0,0.00%,0.2629,0.9508,2.0642,0.6137,0.0001,0.6137,medium,IAB19 - Technology & Computing,IAB11 - Entertainment,entertainment,"young_adults, students, tech_enthusiasts","Platforma społecznościowa z młodą publicznością, idealna do kampanii skierowanych do gen Z."
adx,oglobo.globo.com,,Mobile,Web,DISPLAY,300x250,PT,100560,77919,99548,78.27%,251,0.25%,145.988167,1.452,1.874,0.582,0,0.00%,0.7749,0.9899,1.8736,0.8863,0.0001,0.8863,low,IAB12 - News & Politics,IAB13 - Business,news,"mass_reach, professionals",Prestiżowe medium informacyjne o zasięgu krajowym docierające do szerokiej auditorii.
appnexus,www.letras.mus.br,,Mobile,Web,DISPLAY,320x100,BR,100043,96598,99095,97.48%,59,0.06%,91.797837,0.918,0.950,1.556,0,0.00%,0.9656,0.9905,0.9503,0.9827,0.0002,0.9827,low,IAB3 - Music,,entertainment,"mass_reach, young_adults",Brazylijski serwis tekstów piosenek z wysokim zaangażowaniem użytkowników zainteresowanych muzyką.
adxbr,www.tomadadetempo.com.br,,Mobile,Web,DISPLAY,320x100,BR,98750,81859,89607,91.35%,556,0.56%,133.245399,1.349,1.628,0.240,0,0.00%,0.829,0.9074,1.6277,0.9104,0.0001,0.9104,low,IAB9 - Hobbies & Interests,IAB12 - News & Politics,news,"mass_reach, professionals","Portal newsów i treści ogólnych, odpowiedni dla kampanii o szerokim zasięgu."
rp,www.urbandictionary.com,,Mobile,Web,DISPLAY,300x250,GB,97195,33993,94997,35.78%,51,0.05%,14.172477,0.146,0.417,0.278,0,0.00%,0.3497,0.9774,0.4169,0.6676,0.0004,0.6676,medium,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,education,"young_adults, students","Słownik slangu internetowego, attrakcyjny dla brandów targetujących młode, tech-savvy auditorium."
index,www.tameteo.com,,Mobile,Web,DISPLAY,300x600,FR,94848,85969,92665,92.77%,943,0.99%,514.808827,5.428,5.988,0.546,0,0.00%,0.9064,0.977,5.9883,0.9524,0.0,0.9524,low,IAB9 - Hobbies & Interests,,other,mass_reach,Serwis meteorologiczny dla szerokiej publiczności szukającej informacji o pogodzie i klimacie.
opera,www.msn.com,,Desktop,Web,DISPLAY,300x250,BR,94763,65643,93585,70.14%,210,0.22%,143.924064,1.519,2.193,0.685,0,0.00%,0.6927,0.9876,2.1925,0.8445,0.0001,0.8445,low,IAB12 - News & Politics,IAB14 - Entertainment,news,mass_reach,Globalny portal informacyjny z ogromnym zasięgiem i zaufaniem użytkowników.
rp,www.dailymotion.com,,Mobile,Web,DISPLAY,320x50,GB,89486,82571,89241,92.53%,6,0.01%,94.354708,1.054,1.143,15.726,0,0.00%,0.9227,0.9973,1.1427,0.9613,0.0001,0.9613,low,IAB8 - Entertainment,IAB20 - Video Gaming,entertainment,"mass_reach, young_adults","Platforma wideo przyciąga milenialów i Gen Z, idealna dla kampanii multi-media."
medianet,www.huffpost.com,,Mobile,Web,DISPLAY,300x250,US,87961,4014,84679,4.74%,44,0.05%,91.058406,1.035,22.685,2.070,0,0.00%,0.0456,0.9627,22.6852,0.505,0.0,0.505,medium,IAB12 - News & Politics,IAB14 - Society,news,"mass_reach, professionals, young_adults","Globalny portal informacyjny dociera do szerokiej, głównie młodszej publiczności zainteresowanej newsami."
sovrn,outlook.live.com,,Desktop,Web,DISPLAY,300x600,BR,85804,82605,84942,97.25%,289,0.34%,94.197293,1.098,1.140,0.326,0,0.00%,0.9627,0.99,1.1403,0.9812,0.0001,0.9812,low,IAB19 - Technology & Computing,,technology,"mass_reach, professionals, students",Platforma email i produktywności Microsoftu z zasięgiem do milionów użytkowników biznesowych i prywatnych.
adx,ludzie.fakt.pl,,Desktop,Web,DISPLAY,300x600,PL,82377,61927,80557,76.87%,37,0.04%,18.097029,0.220,0.292,0.489,0,0.00%,0.7518,0.9779,0.2922,0.8733,0.0006,0.8733,low,IAB12 - News & Politics,IAB13 - Celebrity & Entertainment News,news,"mass_reach, young_adults",Portal z wiadomościami i artykułami lifestylowymi dla szerokiej publiki polskiej.
index,www.dailymotion.com,,Mobile,Web,DISPLAY,300x250,MX,81865,76207,80526,94.64%,43,0.05%,33.533166,0.410,0.440,0.780,0,0.00%,0.9309,0.9836,0.44,0.965,0.0004,0.965,low,IAB8 - Entertainment,IAB20 - Video Gaming,entertainment,"mass_reach, young_adults","Platforma wideo przyciąga milenialów i Gen Z, idealna dla kampanii multi-media."
adx,www.wnp.pl,,Mobile,Web,DISPLAY,336x280,PL,81535,58365,79399,73.51%,252,0.31%,188.343027,2.310,3.227,0.747,0,0.00%,0.7158,0.9738,3.227,0.8545,0.0001,0.8545,low,IAB13 - Business,IAB12 - News & Politics,news,professionals,Portal biznesowy dla kadry menedżerskiej i przedsiębiorców monitorujących rynek.
pubmatic,extra.globo.com,,Mobile,Web,DISPLAY,300x600,BR,81319,49403,80194,61.60%,1260,1.55%,215.415672,2.649,4.360,0.171,0,0.00%,0.6075,0.9862,4.3604,0.8011,0.0,0.8011,low,IAB12 - News & Politics,IAB1 - Arts & Entertainment,news,mass_reach,Ogólny portal wiadomości i rozrywki dla szerokiej publiczności brazylijskiej.
adxbr,www.gazetasp.com.br,,Mobile,Web,DISPLAY,320x50,BR,80197,77150,79319,97.27%,191,0.24%,24.909569,0.311,0.323,0.130,0,0.00%,0.962,0.9891,0.3229,0.9809,0.0005,0.9809,low,IAB17 - Sports,IAB12 - News & Politics,sports,"mass_reach, young_adults","Brazylijski portal piłki nożnej, idealny dla marek sportowych i rozrywkowych."
openx,www.dailymail.com,,Mobile,Web,DISPLAY,320x100,GB,78305,72684,77286,94.05%,91,0.12%,113.118342,1.445,1.556,1.243,0,0.00%,0.9282,0.987,1.5563,0.9637,0.0001,0.9637,low,IAB12 - News & Politics,IAB8 - Entertainment,news,mass_reach,Międzynarodowa wersja Daily Mail z wszechstronnym zasięgiem i dużą populacją użytkowników.
index,wiadomosci.wp.pl,,Mobile,Web,DISPLAY,300x100,PL,75846,69599,74120,93.90%,219,0.29%,177.432913,2.339,2.549,0.810,0,0.00%,0.9176,0.9772,2.5494,0.9581,0.0001,0.9581,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Major portal informacyjny, premium placement dla marek chcących maksymalnego reach'u."
adx,wizaz.pl,,Mobile,Web,DISPLAY,336x280,PL,75021,52431,73416,71.42%,205,0.27%,174.767101,2.330,3.333,0.853,0,0.00%,0.6989,0.9786,3.3333,0.8464,0.0,0.8464,low,IAB12 - News & Politics,IAB9 - Hobbies & Interests,entertainment,"mass_reach, young_adults","Serwis rozrywkowy i informacyjny, wartościowy dla marek lifestyle i tech."
adxbr,www.cartacapital.com.br,,Mobile,Web,DISPLAY,320x100,BR,72769,55739,70261,79.33%,125,0.17%,36.012863,0.495,0.646,0.288,0,0.00%,0.766,0.9655,0.6461,0.8794,0.0003,0.8794,low,IAB12 - News & Politics,IAB13 - Opinion,news,"mass_reach, professionals","Portal informacyjny przyciągający dorosłą, świadomą politycznie publiczność zainteresowaną analizą bieżących zdarzeń."
adxbr,www.terra.com.br,,Desktop,Web,VIDEO,1920x1080,BR,69017,61138,67749,90.24%,228,0.33%,293.076551,4.246,4.794,1.285,55949,81.07%,0.8858,0.9816,4.7937,0.9072,0.0,0.942,low,IAB12 - News & Politics,IAB19 - Technology & Computing,news,"mass_reach, professionals",Brazylijski portal informacyjno-techniczny docierający do milionów użytkowników z bieżącymi wiadomościami.
adxbr,odia.ig.com.br,,Mobile,Web,DISPLAY,320x100,BR,68996,63942,66598,96.01%,622,0.90%,137.995396,2.000,2.158,0.222,0,0.00%,0.9267,0.9652,2.1581,0.9627,0.0001,0.9627,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Serwis informacyjny dociera do szerokich mas zainteresowanych brazylijnskimi wiadomościami.
onetag,zloteprzeboje.pl,,Mobile,Web,DISPLAY,970x250,PL,67322,62974,66775,94.31%,25,0.04%,10.534963,0.156,0.167,0.421,0,0.00%,0.9354,0.9919,0.1673,0.9675,0.001,0.9675,low,IAB1 - Arts & Entertainment,IAB17 - Sports,entertainment,"young_adults, parents",Portal o muzyce i rozrywce dla fanów przebojów i kultury masowej.
outbrain,outlook.live.com,,Desktop,Web,DISPLAY,160x600,BR,66456,63668,65675,96.94%,239,0.36%,103.601914,1.559,1.627,0.433,0,0.00%,0.958,0.9882,1.6272,0.9788,0.0001,0.9788,low,IAB19 - Technology & Computing,,technology,"mass_reach, professionals, students",Platforma email i produktywności Microsoftu z zasięgiem do milionów użytkowników biznesowych i prywatnych.
mgid,www.tuasaude.com,,Mobile,Web,DISPLAY,300x600,BR,61925,29046,58452,49.69%,320,0.52%,72.818212,1.176,2.507,0.228,0,0.00%,0.4691,0.9439,2.507,0.7204,0.0001,0.5204,medium,IAB7 - Health & Fitness,,health,"mass_reach, parents","Serwis zdrowotny, odporny na kontekst, idealny dla reklam farmaceutycznych i wellness."
taboola,www.terra.com.br,,Mobile,Web,DISPLAY,300x250,BR,61457,32419,60234,53.82%,324,0.53%,49.934042,0.813,1.540,0.154,0,0.00%,0.5275,0.9801,1.5403,0.7591,0.0001,0.7591,low,IAB12 - News & Politics,IAB19 - Technology & Computing,news,"mass_reach, professionals",Brazylijski portal informacyjno-techniczny docierający do milionów użytkowników z bieżącymi wiadomościami.
rp,www.bnews.com.br,,Mobile,Web,DISPLAY,970x250,BR,61141,56510,59582,94.84%,170,0.28%,77.569845,1.269,1.373,0.456,0,0.00%,0.9243,0.9745,1.3727,0.9615,0.0001,0.9615,low,IAB12 - News & Politics,,news,mass_reach,Portal informacyjny - duży zasięg wśród odbiorców zainteresowanych bieżącymi wiadomościami.
triplelift,www.mp.pl,,Mobile,Web,DISPLAY,336x280,PL,58845,44289,57724,76.73%,423,0.72%,243.991472,4.146,5.509,0.577,0,0.00%,0.7526,0.9809,5.5091,0.8741,0.0,0.8741,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Portal informacyjny o szerokim zasięgu politycznym i społecznym.
rp,www.otempo.com.br,,Mobile,Web,DISPLAY,300x250,BR,58480,41312,57107,72.34%,668,1.14%,109.361946,1.870,2.647,0.164,0,0.00%,0.7064,0.9765,2.6472,0.8499,0.0001,0.8499,low,IAB12 - News & Politics,IAB15 - Entertainment,news,mass_reach,Brazylijski dziennik informacyjny - doskonały dla kampanii o zasięgu brazylijskim.
openx,portal.abczdrowie.pl,,Mobile,Web,DISPLAY,300x250,PL,57938,35814,54737,65.43%,113,0.20%,117.347654,2.025,3.277,1.038,0,0.00%,0.6181,0.9448,3.2766,0.7995,0.0001,0.7995,low,IAB8 - Health & Fitness,,health,"mass_reach, parents",Portal zdrowotny z treściami medycznymi i poradami dla użytkowników zainteresowanych zdrowiem i wellness.
openx,www.blikk.hu,,Mobile,Web,DISPLAY,300x600,HU,56355,47655,55943,85.18%,2042,3.62%,1042.597888,18.501,21.878,0.511,0,0.00%,0.8456,0.9927,21.878,0.9223,0.0,0.9223,low,IAB12 - News & Politics,IAB1 - Arts & Entertainment,news,"mass_reach, young_adults",Węgierski portal tabloidowy - duża popularność wśród masowego odbiorcy zainteresowanego celebrytami.
pubmatic,www.leboncoin.fr,,Desktop,Web,DISPLAY,300x600,FR,54827,32521,53705,60.55%,44,0.08%,54.632686,0.996,1.680,1.242,0,0.00%,0.5932,0.9795,1.6799,0.7925,0.0001,0.7925,low,IAB18 - Shopping,,shopping,"mass_reach, high_income",Francuski serwis ogłoszeń; idealna baza dla sprzedawców i marek e-commerce na rynku francuskim.
index,ludzie.fakt.pl,,Desktop,Web,DISPLAY,300x600,PL,54779,42231,54239,77.86%,10,0.02%,9.659769,0.176,0.229,0.966,0,0.00%,0.7709,0.9901,0.2287,0.8843,0.0007,0.8843,low,IAB12 - News & Politics,IAB13 - Celebrity & Entertainment News,news,"mass_reach, young_adults",Portal z wiadomościami i artykułami lifestylowymi dla szerokiej publiki polskiej.
rp,entretenimento.r7.com,,Mobile,Web,DISPLAY,300x600,BR,53718,40343,52977,76.15%,94,0.17%,47.477894,0.884,1.177,0.505,0,0.00%,0.751,0.9862,1.1769,0.8739,0.0001,0.8739,low,IAB1 - Arts & Entertainment,,entertainment,"mass_reach, young_adults",Portal rozrywki brasileirskiej z szerokim zasięgiem do młodszych i dorosłych użytkowników.
pubmatic,soaps.sheknows.com,,Desktop,Web,DISPLAY,300x600,US,53432,37252,52872,70.46%,8,0.01%,77.922915,1.458,2.092,9.740,0,0.00%,0.6972,0.9895,2.0918,0.847,0.0001,0.847,low,IAB17 - Style & Fashion,IAB20 - Video Gaming,entertainment,"mass_reach, young_adults",Portal lifestylowy z treściami o serialach i trendach dla widowni zainteresowanej rozrywką.
